title,authors,year,venue,doi,url
Continual few-shot patch-based learning for anime-style colorization,"Akinobu Maejima, Seitaro Shinagawa, Hiroyuki Kubo, Takuya Funatomi, T. Yotsukura, Satoshi Nakamura, Y. Mukaigawa",2024,Computational Visual Media,,https://www.semanticscholar.org/paper/1db0c13b673ce979ac75685e361fc9c6ed523e1a
Controlling StyleGANs using rough scribbles via one‐shot learning,"Yuki Endo, Yoshihiro Kanamori",2022,Comput. Animat. Virtual Worlds,,https://www.semanticscholar.org/paper/edb8378bc2a87563a016c7ae08bd9bdd6d84f0f0
COO: Comic Onomatopoeia Dataset for Recognizing Arbitrary or Truncated Texts,,,,,
COO/ Comic Onomatopoeia Dataset for Recognizing Arbitrary or Truncated Texts,,,,,
CoPE: Conditional image generation using Polynomial Expansions,"Grigorios G. Chrysos, Yannis Panagakis",2021,arXiv.org,,https://www.semanticscholar.org/paper/f67090c4c49c2eb127342801a506ec72f55cb109
CPD: Faster RCNN-based DragonBall Comic Panel Detection,"Rishabh Sharma, Vinay Kukreja",2023,International Conference on Communication Systems and Network Technologies,,https://www.semanticscholar.org/paper/6db82b0a479ec597b517756fd64dfd226ae74a47
CPTNet: Cascade Pose Transform Network for Single Image Talking Head Animation,,,,,
Cracking the Code of Juxtaposition: Can AI Models Understand the Humorous Contradictions,"Zhe Hu, Tuo Liang, Jing Li, Yiren Lu, Yunlai Zhou, Yiran Qiao, Jing Ma, Yu Yin",2024,Neural Information Processing Systems,,https://www.semanticscholar.org/paper/31710aec2104caeec51e15c2af9669aa38da97aa
Not All Inputs Are Valid: Towards Open-Set Video Moment Retrieval using Language,"Xiang Fang, Wanlong Fang, Daizong Liu, Xiaoye Qu, Jianfeng Dong, Pan Zhou, Renfu Li, Zichuan Xu, Lixing Chen, Panpan Zheng, Yu Cheng",2024,ACM Multimedia,,https://www.semanticscholar.org/paper/05e1abfac349db213b5caa8afeb8e75bef0d7f7e
Cross-Domain and Disentangled Face Manipulation with 3D Guidance,,,,,
Cross-Domain Style Mixing for Face Cartoonization,"Seungkwon Kim, Chaeheon Gwak, Dohyun Kim, K. Lee, Jihye Back, Namhyuk Ahn, Daesik Kim",2022,arXiv.org,,https://www.semanticscholar.org/paper/51adb2a9f459c806551c164b67cdbcd1b28945d4
Cross-Domain Weakly-Supervised Object Detection Through Progressive Domain Adaptation,"Naoto Inoue, Ryosuke Furuta, T. Yamasaki, K. Aizawa",2018,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/1c0150d2eb50ce33ad1e6e0e7c1bff0503e5bdc7
Cross-modal and Semantics-Augmented Asymmetric CycleGAN for Data-Imbalanced Anime Style Face Translation,"Shiping Deng, Kaoru Uchida, Zhengwei Yin",2021,"International Conference on Video, Signal and Image Processing",,https://www.semanticscholar.org/paper/ce6f10ec95a3caed4afdaf2d0b4a2441952992da
CustomCrafter: Customized Video Generation with Preserving Motion and Concept Composition Abilities,,,,,
DA-GAN: Instance-level Image Translation by Deep Attention Generative Adversarial Networks,,,,,
"DAF:RE: A CHALLENGING, CROWD-SOURCED, LARGE-SCALE, LONG-TAILED DATASET FOR ANIME CHARACTER RECOGNITION",,,,,
DanbooRegion: An Illustration Region Dataset,"Lvmin Zhang, Yi Ji, Chunping Liu",2020,European Conference on Computer Vision,,https://www.semanticscholar.org/paper/2f7093cc379ed47704de6ff4f905912c484908de
DASS-Detector: Domain-Adaptive Self-Supervised Pre-Training for Face \& Body Detection in Drawings,,,,,
Data InStance Prior (DISP) in Generative Adversarial Networks,,,,,
DATA INSTANCE PRIOR FOR TRANSFER LEARNING IN GANS,,,,,
Decomposing Images into Layers with Advanced Color Blending,"Yuki Koyama, Masataka Goto",2018,Computer graphics forum (Print),,https://www.semanticscholar.org/paper/5fc9a59600cfb620b73f2be050a8b98b54dfb9a0
Deep Animation Video Interpolation in the Wild,"Siyao Li, Shiyu Zhao, Weijiang Yu, Wenxiu Sun, Dimitris N. Metaxas, Chen Change Loy, Ziwei Liu",2021,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/701c56592f6b4132f5869f175a46c88df12a3340
Deep Edge-Aware Interactive Colorization against Color-Bleeding Effects,"Eungyeup Kim, Sanghyeon Lee, Jeonghoon Park, Somi Choi, Choonghyun Seo, J. Choo",2021,IEEE International Conference on Computer Vision,,https://www.semanticscholar.org/paper/e67806e8fac4e6f735561c4d5b45db515716c4c7
Deep extraction of manga structural lines,"Chengze Li, Xueting Liu, T. Wong",2017,ACM Transactions on Graphics,,https://www.semanticscholar.org/paper/42c6513804a4f85476e5060aaf174f504c1c41f9
Deep Geometrized Cartoon Line Inbetweening,"Lian Siyao, Tianpei Gu, Weiye Xiao, Henghui Ding, Ziwei Liu, Chen Change Loy",2023,IEEE International Conference on Computer Vision,,https://www.semanticscholar.org/paper/d5befc6bb18b371738536d3ce2f56b345bdd816a
Deep Learning-Based Classification of the Polar Emotions of “Moe”-Style Cartoon Pictures,,,,,
Deep Line Art Video Colorization with a Few References,,,,,
Deep Manga Colorization with Color Style Extraction by Conditional Adversarially Learned Inference,"Yuusuke Kataoka, Takashi Matsubara, K. Uehara",2017,,,https://www.semanticscholar.org/paper/8ce773bcdb42405f6fb12c2a0b3466b55d6b019b
Deep Normal Estimation for Automatic Shading of Hand-Drawn Characters,"Matis Hudon, M. Grogan, R. Pagés, A. Smolic",2018,ECCV Workshops,,https://www.semanticscholar.org/paper/a18aac17a71699a9a31f877691792d30aebf202c
Deep Sketch-guided Cartoon Video Inbetweening,,,,,
Deep Unfolding With Normalizing Flow Priors for Inverse Problems,"Xinyi Wei, Hans van Gorp, Lizeth González Carabarin, D. Freedman, Yonina C. Eldar, R. V. Sloun",2021,IEEE Transactions on Signal Processing,,https://www.semanticscholar.org/paper/1e3f70206dd0ff7b512fb7b34d283dfa163470a8
Deep-Eyes: Fully Automatic Anime Character Colorization with Painting of Details on Empty Pupils,"Kenta Akita, Yuki Morimoto, R. Tsuruno",2020,Eurographics,,https://www.semanticscholar.org/paper/bf03985a1b5d5fed16fd79ce85058a0bd8b38f4e
Dense Multitask Learning to Reconfigure Comics,"Deblina Bhattacharjee, S. Süsstrunk, M. Salzmann",2023,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),,https://www.semanticscholar.org/paper/134789469174e777e507e90bce9ad634798fae54
Depixelizing pixel art,"J. Kopf, Dani Lischinski",2011,ACM Transactions on Graphics,,https://www.semanticscholar.org/paper/0a068c0245d14fb22fa43f020f546880144e5fae
Designing a Question-Answering System for Comic Contents,,,,,
Developing Comic-based Learning Toolkits for Teaching Computing to Elementary School Learners,,,,,
Diff-Foley: Synchronized Video-to-Audio Synthesis with Latent Diffusion Models,,,,,
DiffSensei: Bridging Multi-Modal LLMs and Diffusion Models for Customized Manga Generation,"Jianzong Wu, Chao Tang, Jingbo Wang, Yanhong Zeng, Xiangtai Li, Yunhai Tong",2024,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/ecbc2f63c0216c82fa5a22b2f33454b8f25e5a35
Diffusart: Enhancing Line Art Colorization with Conditional Diffusion Models,"Hernan Carrillo, Michaël Clément, Aurélie Bugeau, E. Simo-Serra",2023,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),,https://www.semanticscholar.org/paper/c749be51e210e2334d601d19c3ebcd39cd11f33e
Diffusion in Style,,,,,
Diffutoon: High-Resolution Editable Toon Shading via Diffusion Models,,,,,
DiLight: Digital light table - Inbetweening for 2D animations using guidelines,"L. Carvalho, R. Marroquim, E. V. Brazil",2017,Computers & graphics,,https://www.semanticscholar.org/paper/51d25899414d8929a298b9f302c3cb0bf0081009
Discovering Density-Preserving Latent Space Walks in GANs for Semantic Image Transformations,"Guanyue Li, Yi Liu, Xiwen Wei, Yang Zhang, Si Wu, Yong Xu, Hau-San Wong",2021,ACM Multimedia,,https://www.semanticscholar.org/paper/99fcd6fc3254515829f821e51fa13811f5582c7c
Discovering Interpretable Latent Space Directions of GANs Beyond Binary Attributes,,,,,
DisenStudio: Customized Multi-Subject Text-to-Video Generation with Disentangled Spatial Control,,,,,
Disentangling Style and Content in Anime Illustrations,,,,,
DisUnknown: Distilling Unknown Factors for Disentanglement Learning,"Sitao Xiang, Yuming Gu, Pengda Xiang, Menglei Chai, Hao Li, Yajie Zhao, Mingming He",2021,IEEE International Conference on Computer Vision,,https://www.semanticscholar.org/paper/2309d2e49d5a017a4ddc2624189b9ecc0a2c534a
Do Generative Models Know Disentanglement? Contrastive Learning is All You Need,"Xuanchi Ren, Tao Yang, Yuwang Wang, Wenjun Zeng",2021,arXiv.org,,https://www.semanticscholar.org/paper/4177364690a19fd9d64f25c5152ec57b94b5ccc5
Do You Like Sclera? Sclera-region Detection and Colorization for Anime Character Line Drawings,"M. Aizawa, Y. Sei, Yasuyuki Tahara, R. Orihara, Akihiko Ohsuga",2019,Int. J. Networked Distributed Comput.,,https://www.semanticscholar.org/paper/ed3f89f5f6831f4f685c1624d1cc2d51cf30eb19
Document Classification and Page Stream Segmentation for Digital Mailroom Applications,"Albert Gordo, Marçal Rusiñol, Dimosthenis Karatzas, Andrew D. Bagdanov",2013,IEEE International Conference on Document Analysis and Recognition,,https://www.semanticscholar.org/paper/ca9d9781cd4c758aaf6a16e10280092797a8258c
Supplementary Material for DoveNet: Deep Image Harmonization via Domain Veriﬁcation,"Wenyan Cong, Jianfu Zhang, Li Niu, Liu Liu, Zhixin Ling, Weiyuan Li, Liqing Zhang",2020,,,https://www.semanticscholar.org/paper/79c1db893a594e8570f29ddb957922f3335c6cb0
Dr.Bokeh: DiffeRentiable Occlusion-Aware Bokeh Rendering,"Yichen Sheng, Zixun Yu, Lu Ling, Zhiwen Cao, Cecilia Zhang, Xin Lu, Ke Xian, Haiting Lin, Bedrich Benes",2023,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/2e5a8fceca704092ff7aa941b8f21221c822a533
DrawingSpinUp: 3D Animation from Single Character Drawings,"Jie Zhou, Chufeng Xiao, Miu-Ling Lam, Hongbo Fu",2024,ACM SIGGRAPH Conference and Exhibition on Computer Graphics and Interactive Techniques in Asia,,https://www.semanticscholar.org/paper/567772b00d05d8e47a988ab16e00d9b3f315710b
DreamArtist: Towards Controllable One-Shot Text-to-Image Generation via Positive-Negative Prompt-Tuning,,,,,
DreamDance: Animating Character Art via Inpainting Stable Gaussian Worlds,"Jiaxu Zhang, Xianfang Zeng, Xin Chen, Wei Zuo, Gang Yu, Guosheng Lin, Zhigang Tu",2025,arXiv.org,,https://www.semanticscholar.org/paper/89643cd9ca5d4e44822aeec837899f7a85c2ee36
DreamRunner: Fine-Grained Compositional Story-to-Video Generation with Retrieval-Augmented Motion Adaptation,"Zun Wang, Jialu Li, Han Lin, Jaehong Yoon, Mohit Bansal",2024,,,https://www.semanticscholar.org/paper/0825afca3855db8836c13c5c66ec30bb9bb90b1e
DreamTuner: Single Image is Enough for Subject-Driven Generation,"Miao Hua, Jiawei Liu, Fei Ding, Wei Liu, Jie Wu, Qian He",2023,arXiv.org,,https://www.semanticscholar.org/paper/b2e650f7f3348ee4fa12798c0d8ecfcf479dc328
DreamVideo: High-Fidelity Image-to-Video Generation with Image Retention and Text Guidance,,,,,
DreamWaltz: Make a Scene with Complex 3D Animatable Avatars,,,,,
Dual Color Space Guided Sketch Colorization,,,,,
Dual Loss for Manga Character Recognition with Imbalanced Training Data,,,,,
Dynamic Manga: Animating Still Manga via Camera Movement,"Ying Cao, X. Pang, Antoni B. Chan, Rynson W. H. Lau",2017,IEEE transactions on multimedia,,https://www.semanticscholar.org/paper/2fbb61f71b4b79995b23c56fd2a754abaa30387d
DyStyle: Dynamic Neural Network for Multi-Attribute-Conditioned Style Editing,,,,,
CAM-GAN: Continual Adaptation Modules for Generative Adversarial Networks,"Sakshi Varshney, V. Verma, K. SrijithP., L. Carin, Piyush Rai",2021,Neural Information Processing Systems,,https://www.semanticscholar.org/paper/35c3d1ccdb4c2014a00ce9d9a96cdbb93516d2ba
EigenGAN: Layer-Wise Eigen-Learning for GANs,"Zhenliang He, Meina Kan, S. Shan",2021,IEEE International Conference on Computer Vision,,https://www.semanticscholar.org/paper/23adffcc367ac585bbbaaa2fe430f881e79c756a
Eliminating Gradient Conflict in Reference-based Line-Art Colorization,,,,,
EmoDubber: Towards High Quality and Emotion Controllable Movie Dubbing,"Gaoxiang Cong, Jiadong Pan, Liang Li, Yuankai Qi, Yuxin Peng, A. Hengel, Jian Yang, Qingming Huang",2024,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/d2281389f0026eaa2fe813f4afc54fc83dd970a6
StyleGANEX: StyleGAN-Based Manipulation Beyond Cropped Aligned Faces,"Shuai Yang, Liming Jiang, Ziwei Liu, Chen Change Loy",2023,IEEE International Conference on Computer Vision,,https://www.semanticscholar.org/paper/06aa2aa2a29f25437545478e7361744aa35a0419
"Spatial coincidence modelling, automated database updating and data consistency in vector GIS",O. Kufoniyi,1995,,,https://www.semanticscholar.org/paper/04430d5ac32e33ed930421df62f7b76f04a7ad8e
Enhanced Deep Animation Video Interpolation,,,,,
Enhancement of Anime Imaging Enlargement using Modified Super-Resolution CNN,,,,,
Enhancing the Accessibility for All of Digital Comic Books,C. Ponsard,2009,e Minds Int. J. Hum. Comput. Interact.,,https://www.semanticscholar.org/paper/2bd81b7615e22fa3e20af676d1aa25d536baa10c
Erasing Appearance Preservation in Optimization-Based Smoothing,"Lvmin Zhang, Chengze Li, Yi Ji, Chunping Liu, T. Wong",2020,European Conference on Computer Vision,,https://www.semanticscholar.org/paper/ee57f611e671c5cf0bb9d2e2786d4e217b095c8c
Estimating Image Depth in the Comics Domain,,,,,
Exemplar-Based Sketch Colorization with Cross-Domain Dense Semantic Correspondence,"Jinrong Cui, Haowei Zhong, Hailong Liu, Yulu Fu",2022,Mathematics,,https://www.semanticscholar.org/paper/51724ac953db05270c67dde08d3ee03f6f3914d1
Exploiting Aliasing for Manga Restoration,"M. Xie, Menghan Xia, T. Wong",2021,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/378f5305d7250e7290dd1cde87b319617d285d39
Exploring inbetween charts with trajectory-guided sliders for cutout animation,"Tsukasa Fukusato, Akinobu Maejima, Takeo Igarashi, T. Yotsukura",2023,Multim. Tools Appl.,,https://www.semanticscholar.org/paper/51dd7c0a0b3a7fdd34293b246c408d7b93acf6dd
Exploring Phrase Grounding without Training: Contextualisation and Extension to Text-Based Image Retrieval,,,,,
Exploring Sketch-based Character Design Guided by Automatic Colorization,,,,,
Extraction of Frame Sequences in the Manga Context,"Christian Roggia, Fabio Persia",2020,IEEE International Symposium on Multimedia,,https://www.semanticscholar.org/paper/f3eae9dfca3f57c8138e9ef2b8a78dd0e1d06d4c
Facial Landmark Detection for Manga Images,"Marco Stricker, Olivier Augereau, K. Kise, M. Iwata",2018,arXiv.org,,https://www.semanticscholar.org/paper/64cac22210861d4e9afb00b781da90cf99f9d19c
FairyGen: Storied Cartoon Video from a Single Child-Drawn Character,,,,,
Fast Leak-Resistant Segmentation for Anime Line Art,"Benjamin Allen, Akinobu Maejima, Ken Anjyo",2024,SIGGRAPH Asia Technical Communications,,https://www.semanticscholar.org/paper/3cf43d36479f67b704e9e7fe2c84b87d8468d538
Image hashing retrieval based on generative adversarial networks,"Lei Lei, Dongen Guo, Zhen Shen, Zechen Wu",2022,Applied intelligence (Boston),,https://www.semanticscholar.org/paper/28727e96023b06a8f1b3fa43730e512b07516317
FEW-SHOT ADAPTATION OF GENERATIVE ADVERSARIAL NETWORKS,,,,,
Few-Shot Knowledge Transfer for Fine-Grained Cartoon Face Generation,"Nan Zhuang, Cheng Yang",2020,IEEE International Conference on Multimedia and Expo,,https://www.semanticscholar.org/paper/27e0aabd3e58413f6796bbc820a416875591b169
Few-shot Semantic Image Synthesis Using StyleGAN Prior,"Yuki Endo, Yoshihiro Kanamori",2021,arXiv.org,,https://www.semanticscholar.org/paper/24dfd76a4de22dea0bbf780997b9756c83eadec9
LineArt: A Knowledge-guided Training-free High-quality Appearance Transfer for Design Drawing with Diffusion Model,"Xi Wang, Hongzhen Li, Heng Fang, Yichen Peng, Haoran Xie, Xi Yang, Chuntao Li",2024,arXiv.org,,https://www.semanticscholar.org/paper/0e04ca37407678db34e54cef661712b67e299e66
Fine-Tuning StyleGAN2 For Cartoon Face Generation,Jihye Back,2021,arXiv.org,,https://www.semanticscholar.org/paper/6430eb5f5c42d0d8e70f164ec02b270aa8ff9b98
FlatMagic: Improving Flat Colorization through AI-driven Design for Digital Comic Professionals,"Chuan Yan, John Joon Young Chung, Yoon Kiheon, Y. Gingold, Eytan Adar, S. Hong",2022,International Conference on Human Factors in Computing Systems,,https://www.semanticscholar.org/paper/ff82217e8e1196fcd737e3900eb6f98533bd8657
Floating No More: Object-Ground Reconstruction from a Single Image,"Yunze Man, Yichen Sheng, Jianming Zhang, Liangyan Gui, Yu-Xiong Wang",2024,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/ecdf4349b6223cf326a5074244cffb159149f9e3
Foley Music: Learning to Generate Music from Videos,,,,,
Foleygen: Visually-Guided Audio Generation,"Xinhao Mei, Varun K. Nagaraja, Gaël Le Lan, Zhaoheng Ni, Ernie Chang, Yangyang Shi, Vikas Chandra",2023,International Workshop on Machine Learning for Signal Processing,,https://www.semanticscholar.org/paper/87207b541204bdd757da181552a420cc9af99ded
Framer: Interactive Frame Interpolation,,,,,
Freeze the Discriminator: a Simple Baseline for Fine-Tuning GANs,"Sangwoo Mo, Minsu Cho, Jinwoo Shin",2020,,,https://www.semanticscholar.org/paper/0b10d741f6c2cf946604105bd85707af65c7ccf6
FRESCO: Spatial-Temporal Correspondence for Zero-Shot Video Translation,,,,,
From Speaker to Dubber: Movie Dubbing with Prosody and Duration Consistency Learning,"Zhedong Zhang, Liang Li, Gaoxiang Cong, Haibing Yin, Yuhan Gao, C. Yan, A. Hengel, Yuankai Qi",2024,ACM Multimedia,,https://www.semanticscholar.org/paper/a71b39d43b90ed57d6f61fd09570b9c3c4289858
Full-body High-resolution Anime Generation with Progressive Structure-conditional Generative Adversarial Networks,"K. Hamada, Kentaro Tachibana, Tianqi Li, Hiroto Honda, Yusuke Uchida",2018,ECCV Workshops,,https://www.semanticscholar.org/paper/307e8d67c24b6ef9960bd6a2a03722a471bf4ddd
Fully Automatic Colorization for Anime Character Considering Accurate Eye Colors,,,,,
GAN Memory with No Forgetting,,,,,
GAN-Based Multi-Style Photo Cartoonization,"Yezhi Shu, Ran Yi, Mengfei Xia, Zipeng Ye, Wang Zhao, Yang Chen, Yu-Kun Lai, Yong-Jin Liu",2021,IEEE Transactions on Visualization and Computer Graphics,,https://www.semanticscholar.org/paper/a150f0ef299af5300f7522c956f5ea3ad16ab003
GANILLA: Generative adversarial networks for image to illustration translation,,,,,
"GANs N’ Roses: Stable, Controllable, Diverse Image to Image Translation (works for videos too!)",,,,,
GCN-Based Multi-Modal Multi-Label Attribute Classification in Anime Illustration Using Domain-Specific Semantic Features,"Ziwen Lan, Keisuke Maeda, Takahiro Ogawa, M. Haseyama",2022,International Conference on Information Photonics,,https://www.semanticscholar.org/paper/9cb5c231cc7c831108b16dc919c846b3ef6cbd63
